mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
370115000,9045156,3EAJ9,20.8,134.02,0,1,7303,0,1,8056,CLAV,Panama
370305000,9063665,3FJZ2,22,137.8,0,1,9538,0,1,9000,ITU,Panama
370599000,9666481,3ELC8,20.2,131.61,3.472561015,2,6558,0,1,7314,CLAV,Panama
370866000,9021277,DSMA2,14,94,0,1,2692,0,1,2830,encounters,Panama
370981000,8223488,HOYH,16,84.64,0,1,1490,0,1,3395,FFA,Panama
371100000,8508840,HPQB,15,88.32,0,1,2436,0,1,2468,FFA,Panama
371118580,,,,,,0,,,0,,CLAV,Panama
371156000,9041540,H9PE,18,129.2,0.007071068,2,6399,0,1,7368,CLAV,Panama
371210000,8521804,3EGY7,22,144.35,0,1,12383,0,1,9360,CLAV,Panama
371295000,7818561,3EAY,16,99.7,,1,3830,,1,4258,CLAV,Panama
371322000,8814237,3ECC7,16.31,99.98,,1,3503,,1,4243,CLAV,Panama
371335000,8317356,3FE06,18,138.38,,1,6268,,1,6368,CLAV,Panama
371542000,8714944,3FSS6,17,115.9,,1,4261,,1,4641,CLAV,Panama
371717000,8422711,3FSJ2,22,152.94,0,1,12398,0,1,11871,encounters,Panama
371719000,8319031,3FIO6,16,93.71,0,1,3170,0,1,3827,encounters,Panama
371790000,8421286,H3XA,16,107.96,0,1,4202,0,1,4278,FFA,Panama
371812000,8807662,3EHL5,21,140.44,0,1,9072,0,1,11438,CLAV,Panama
372199000,8609981,3FTJ4,18,117.31,0,1,4963,0,1,6530,CLAV,Panama
372538000,8618865,3EKK9,20,137,0,1,7212,0,1,6518,encounters,Panama
372594000,8319055,3EJQ3,16,109,0,1,4364,0,1,5522,FFA,Panama
372825000,7812074,3FJL9,16,103,0,1,3835,0,1,4392,ITU,Panama
372886000,8976841,3EKZ8,12,81.1,,1,1467,,1,1630,CLAV,Panama
372910000,8613920,3EVC7,18,110.2,,1,4986,,1,6916,CLAV,Panama
373039000,9016985,3FDH6,22,152.94,0,1,12413,0,1,13283,encounters,Panama
373443000,8911487,3EXR3,19,112.39,0,1,6420,0,1,6807,CLAV,Panama
373731000,8807466,3FAR4,18,125,0,1,4988,0,1,6514,CLAV,Panama
373837000,,,,88.61,,1,3687,,1,,CLAV,Panama
373962000,9179397,3FYV8,21,139,0,1,7637,0,1,9011,ITU,Panama
374014000,8908739,HONN,12,79.69,0,1,1610,0,1,1494,encounters,Panama
374048000,9220653,3FRF9,14,95,0,1,2495,0,1,3000,encounters,Panama
374083000,,,,85.32,0,1,2047,0,1,,ITU,Panama
374115000,9009695,3FKX4,17,120.7,0,1,4444,0,1,5226,ITU,Panama
374140000,9262182,3FEQ5,9,95.2,0,1,2900,0,1,2500,ITU,Panama
374173000,9586332,3FYT4,12,83,0,1,1998,0,1,2300,ITU,Panama
374198000,9135169,3FIC4,22,143,0,1,8896,0,1,9638,ITU,Panama
374244000,9293313,3EFB3,,113.37,,,4521,,,,IATTC,Panama
374317000,7908976,3ECZ6,18,137,0,1,6049,0,1,6044,ITU,Panama
374410000,8609280,3EML7,20,144.5,0,1,7286,0,1,7337,ITU,Panama
374446000,9241932,3EHZ8,17,120.75,0,1,4521,0,1,5035,ITU,Panama
374478000,8807466,3FAR4,18,125,0,1,4988,0,1,6514,ITU,Panama
374610000,9016961,3FCO5,22,152.87,0,1,12413,0,1,11691,encounters,Panama
374611000,8028955,3EYA7,16,99.02,0,1,3363,0,1,5009,ITU,Panama
374612000,8410586,3FXQ9,24,169,0,1,12660,0,1,13613,ITU,Panama
374723000,9161613,HOAZ,15,86.09,0,1,2713,0,1,3051,ITU,Panama
374762000,9453418,YJQS6,,120.75,0,1,4538,,,,CCSBT,Vanuatu
374830000,8609979,3EFA6,18,124,0,1,4963,0,1,6553,ITU,Panama
374831000,8312461,HOFG,16,110,0,1,4071,0,1,5563,ITU,Panama
374849000,7812062,3EGU9,16,103,0,1,3835,0,1,4392,ITU,Panama
374906000,9140281,HPEF,16,99.5,0,1,3822,0,1,3966,ITU,Panama
376715000,8838544,J8B5140,13,85,0,1,2342,0,1,901,ITU,Saint Vincent and the Grenadines
412202350,8810657,BAIL,13,84.33,0,1,1912,0,1,1930,CLAV,China
412202420,8426901,BZTH,12,66,0,1,1289,0,1,500,ITU,China
412202730,9211523,BAGO,7,50,0,1,289,0,1,400,ITU,China
412203020,9232008,BANF,7,50,0,1,287,0,1,212,ITU,China
412203190,8956906,BALQ,7,41,0,0,218,0,0,145,ITU,China
412203740,9005625,BAPI,13,84.02,0,1,1950,0,1,1950,CLAV,China
412208610,8319598,,15,86.33,0,1,2340,0,1,2311,CLAV,China
