mmsi,imo,call_sign,width,avg_length,stddev_length,num_length_sources,avg_gross_tonnage,stddev_gross_tonnage,num_gross_tonnage_sources,dead_weight,source,flag_state
529642000,9172442,YJUK3,16,88.78,1.103086579,2,3683,0,1,3621,CLAV,Kiribati
529650000,7812062,3EGU9,16,103.73,,1,3835,,1,4392,CLAV,Kiribati
529650006,7812062,T3JZ2,,103.73,,,3835,,,,WCPFC,Panama
529730000,8906808,D7BO,18,106,0,1,5286,0,1,6455,CLAV,Kiribati
529758000,9677595,J7CX2,18,78.88,0,1,1995,0,1,2700,FFA,Kiribati
529764000,8312655,T3PT2,21,149.03,0,1,9032,0,1,9233,encounters,Kiribati
529781000,8814299,D5LN5,23,150,0,1,10629,0,1,10581,encounters,Kiribati
529837000,7726706,T3SU2,24,1444.35,0,1,11243,0,1,12570,encounters,Kiribati
529844000,9044358,T3TB2,22,152.94,0,1,12413,0,1,9952,encounters,Kiribati
530149576,,,,,,0,,,0,,CLAV,Unknown
538002899,9087910,D7PK,17,120.75,0,1,4490,0,1,5127,FFA,Marshall Islands
538002960,9170963,V7NH7,14,95.95,0,1,2782,0,1,2937,CLAV,Marshall Islands
538002995,8810645,3EPY9,15.6,100.8,0,1,3475,0,1,4218,CLAV,Marshall Islands
538002996,8714944,3FSS6,16.6,115.9,0,1,4261,0,1,5069,FFA,Marshall Islands
538002997,8911607,DSRO8,16.62,120.7,0,1,4429,0,1,5154,CLAV,Marshall Islands
542156110,8627309,T3HD2,,84.6,,,2429,,,,WCPFC,Kiribati
548050500,8920024,DUG9197,13,85,0,1,1888,0,1,1750,CLAV,Philippines
548246100,8513352,DUTR6,10,58.57,0,1,914,0,1,929,FFA,Philippines
548335100,7916791,4DEE3,14,87.25,0,1,2462,0,1,2992,FFA,Philippines
548352100,8217142,4DEG_6,12,65.85,,1,1239,,1,1205,CLAV,Philippines
548363100,8223983,,13.61,80.7,0,1,1542.56,0,1,2123,FFA,Philippines
548401400,,,,,,0,,,0,,FFA,Philippines
548595000,7824936,DUL6372,11,69.4,0,1,695.87,0,1,1222,FFA,Philippines
548600000,8408301,DUL7420,12,73.55,0,1,1427,0,1,1350,FFA,Philippines
548601000,8211007,,14.22,61.88,28.30579492,2,1292.06,1310.106415,2,3071,FFA,Philippines
548906000,9076246,DUGQ,18,133.95,0,1,6964,0,1,6620,FFA,Philippines
563418000,9666508,9V6110,20.2,134.15,0,1,6534,0,1,7301,CLAV,Singapore
567011500,7727114,HSCY2,13.21,81.73,0,1,2285,0,1,2468,CLAV,Thailand
