mmsi,inferred,score,known
200015717,trawlers,0.794923305511,
200015746,drifting_longlines,0.965196192265,
200015756,drifting_longlines,0.939073383808,
200015919,drifting_longlines,0.999331355095,
200015971,drifting_longlines,0.993243157864,
200015973,trawlers,0.791336774826,
200015978,drifting_longlines,0.975663006306,
200016043,drifting_longlines,0.990844190121,
200016063,drifting_longlines,0.999932646751,
200016075,drifting_longlines,0.999062240124,
200016076,drifting_longlines,0.99913007021,
200016087,drifting_longlines,0.993754446507,
200016091,drifting_longlines,0.305374145508,
200016093,drifting_longlines,0.744930148125,
200016304,drifting_longlines,0.981106758118,
200016832,trawlers,0.76804625988,
200016875,trawlers,0.834815561771,
200016887,drifting_longlines,0.937992751598,
200016970,trawlers,0.988854408264,
200017151,drifting_longlines,0.962860167027,
200017173,trawlers,0.924963116646,
200017185,drifting_longlines,0.999994158745,
200017196,purse_seines,0.491819947958,
200017208,drifting_longlines,0.999997377396,
200017365,drifting_longlines,0.60234361887,
200017396,purse_seines,0.958657503128,
200017419,drifting_longlines,0.588577270508,
200017518,drifting_longlines,0.499333918095,
200017603,trawlers,0.99917525053,
200017621,purse_seines,0.987813055515,
200017704,fixed_gear,0.932989234319,
200017893,purse_seines,0.582179546356,
200017974,purse_seines,0.685389518738,
200018022,trawlers,0.530688226223,
200018027,purse_seines,0.932364761829,
200018059,drifting_longlines,0.999640464783,
200018092,drifting_longlines,0.939898252487,
200018128,drifting_longlines,0.676247179508,
200018177,trawlers,0.777174293995,
200018239,drifting_longlines,0.982455193996,
200018241,drifting_longlines,0.502369165421,
200018315,trawlers,0.973651707172,
200018350,trawlers,0.409715384245,
200018353,drifting_longlines,0.835710167885,
200018406,drifting_longlines,0.785009622574,
200018423,drifting_longlines,0.477298229933,
200018466,trawlers,0.938855886459,
200018473,trawlers,0.877660751343,
200018502,drifting_longlines,0.749742627144,
200018508,fixed_gear,0.975455678507,
200018569,drifting_longlines,0.999148607254,
200018606,fixed_gear,0.993262473734,
200018723,fixed_gear,0.793768285509,
200018828,drifting_longlines,0.745703577995,
200018842,trawlers,0.927151978016,
200018861,other_fishing,0.698657474747,
200018948,trawlers,0.91938906908,
200018959,drifting_longlines,0.402688413858,
200019081,fixed_gear,0.818907580937,
