mmsi,inferred,known
6101001,Seismic vessel,
6459022,Sailing,
6597365,Tug,
6645040,Tug,
7019999,Pots and traps,
7037143,Tanker,
7072284,Cargo,
7100013,Sailing,
7250231,Cargo,
7250235,Cargo,
7250370,Sailing,
7300046,Trawlers,
7395039,Cargo,
7470044,Trawlers,
7568952,Cargo,
7620705,Tug,
7666980,Cargo,
7732054,Tanker,
7777777,Cargo,
7798031,Cargo,
7853036,Tanker,
7964014,Tug,
8070090,Set longlines,
8072781,Purse seines,
8073718,Tug,
8080086,Reefer,
8104046,Tug,
8203127,Tug,
8322214,Sailing,
8388736,Trawlers,
8442807,Reefer,
8481262,Tanker,
8504703,Sailing,
8601496,Set longlines,
8656952,Tanker,
8661252,Tug,
8671955,Pots and traps,
8888888,Pilot,
8900658,Tug,
8900660,Tug,
8978434,Trawlers,
9000179,Set gillnets,
9004126,Tanker,
9010134,Trawlers,
9010137,Trawlers,
9010166,Purse seines,
9010193,Sailing,
9010222,Squid,
9010611,Set gillnets,
9010630,Trawlers,
9010768,Sailing,
9010785,Purse seines,
9010950,Set gillnets,
9020164,Set gillnets,
9020166,Pole and line,
9020167,Cargo,
9020187,Set gillnets,
9020204,Trawlers,
9020313,Set longlines,
9020361,Trawlers,
9020364,Purse seines,
9020400,Pole and line,
9020408,Pilot,
9020443,Set longlines,
9020457,Pole and line,
9020539,Purse seines,
9020620,Pole and line,
9020635,Pole and line,
9020670,Trawlers,
9020707,Pots and traps,
9020789,Pole and line,
9020795,Trawlers,
9020824,Pole and line,
9020835,Trawlers,
9020902,Pots and traps,
9020966,Set longlines,
9020997,Reefer,
9020998,Pilot,
9021098,Trawlers,
9021169,Pole and line,
9021201,Trawlers,
9021205,Cargo,
9021228,Pole and line,
9021247,Set gillnets,
9021278,Trawlers,
9021281,Trawlers,
9021293,Trawlers,
9021313,Trawlers,
9021358,Trawlers,
9021400,Set gillnets,
9021455,Pots and traps,
9021458,Set gillnets,
9021493,Set longlines,
9021511,Trawlers,
9021513,Cargo,
9021565,Set longlines,
9021586,Set gillnets,
9021729,Pole and line,
9021792,Trawlers,
9021795,Purse seines,
9021929,Tanker,
9021978,Cargo,
9022012,Seismic vessel,
9022066,Pole and line,
9022086,Set longlines,
9022114,Trawlers,
9022141,Set gillnets,
9022169,Pots and traps,
9022213,Set gillnets,
9022218,Cargo,
9022297,Set gillnets,
9022642,Trawlers,
9022670,Trawlers,
9022852,Pole and line,
9022915,Cargo,
9081491,Set longlines,
9097276,Pilot,
9102103,Trawlers,
9102216,Set gillnets,
9102217,Trawlers,
9102242,Sailing,
9102264,Trawlers,
9102276,Purse seines,
9102281,Set gillnets,
9102346,Set gillnets,
9102352,Trawlers,
9102490,Set gillnets,
9102638,Purse seines,
9102659,Set longlines,
9102674,Trawlers,
9102693,Set gillnets,
9102697,Set gillnets,
9102733,Pole and line,
9102735,Pots and traps,
9102736,Trawlers,
9102740,Trawlers,
9102743,Trawlers,
9102756,Tanker,
9102770,Pots and traps,
9102801,Pole and line,
9102835,Set longlines,
9102847,Pilot,
9102875,Trawlers,
9102929,Set longlines,
9103012,Trawlers,
9103046,Set gillnets,
9103057,Trawlers,
9103076,Cargo,
9103082,Reefer,
9103087,Trawlers,
9103099,Trawlers,
9103100,Set longlines,
9103103,Set gillnets,
9103111,Trawlers,
9103118,Tanker,
9103133,Set longlines,
9103135,Pilot,
9103137,Trawlers,
9103140,Trawlers,
9103141,Sailing,
9103146,Pilot,
9103495,Sailing,
9103514,Trawlers,
9103635,Pots and traps,
9103636,Trawlers,
9103684,Set gillnets,
9103685,Pots and traps,
9103691,Pole and line,
9103706,Set gillnets,
9103709,Trawlers,
9103741,Pots and traps,
9103742,Purse seines,
9103754,Pots and traps,
9103755,Pole and line,
9103756,Trawlers,
9103757,Purse seines,
9103758,Trawlers,
9103780,Set longlines,
9103923,Trawlers,
9103924,Pots and traps,
9103925,Cargo,
9103927,Trawlers,
9103928,Trawlers,
9103932,Sailing,
9103937,Trawlers,
9103962,Trawlers,
9103974,Trawlers,
9103975,Trawlers,
9104237,Tug,
9110391,Reefer,
9111254,Pilot,
9152727,Trawlers,
9152985,Tanker,
9166601,Sailing,
9167378,Set gillnets,
9216195,Sailing,
9312523,Tug,
9350317,Cargo,
9366689,Pilot,
9366691,Tug,
9379000,Sailing,
9389811,Sailing,
9426649,Cargo,
9527595,Sailing,
9632476,Trawlers,
9699330,Cargo,
9764866,Tanker,
9819697,Tanker,
9999043,Tug,
9999248,Tug,
9999368,Tug,
9999999,Purse seines,
