mmsi,Label,Match?,Is this a purse seiner?,Who?,Notes,Link,shipname,imo,callsign,imo_rank,callsign_rank,name_rank,flag_match,date_range_match,clav_date_match,fishing_msg_ratio,Score (callsign + flagmatch),clav_DateUpdated,rfmo_name,match_start,clav_DateUpdated,match_score,shiptype,shiptype_fishing,clav_TUVI
312864000,Purse seiners,no,yes,VL,call sign does not match,https://www.google.com/search?q=312864000+mmsi,THAI UNION 2,8919403,HSB3717,1,0,0,0,0,1,1,0,25:43.0,IOTC,14:59.0,1/8/15,4926,Tuna purse seiners,1,9236
306034000,Purse seiners,no,yes,VL,call sign does not match,https://www.google.com/search?q=306034000+mmsi,INTERTUNA CUATRO,8716837,S7KD,1,0,0,0,0,0,0.17683466,0,14:41.0,IOTC,09:15.0,5/13/09,369,Tuna purse seiners,1,14589
242149100,Purse seiners,no,yes,VL,call sign does not match,https://www.google.com/search?q=242149100+mmsi,MAMULŠü__Šü__ REŠü__Šü__S-1,8984939,TC9328,1,0,0,0,0,0,0.278688525,0,06:47.0,ICCAT,33:52.0,5/4/13,1429.75,Purse seiners,1,6904
224501000,Purse seiners,no,yes,VL,MMSI does not match ,https://www.google.com/search?q=224501000+mmsi,PONT SAINT LOUIS,8222422,6WLC,1,0,0,0,0,0,0.460750853,0,30:52.0,ICCAT,19:43.0,6/16/15,1318.5,Purse seiners,1,1752
642122023,Purse seiners,yes,yes,WB,name: Al Safa 4,https://www.google.com/search?q=642122023+mmsi,ALSSAFA IV,,5AWS,0,1,0,1,0,1,1,2,08:14.0,ICCAT,12:13.0,2/20/15,42016,Purse seiners,1,6181
512012000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=512012000+mmsi,CAPTAIN M J SOUZA,,ZMAS,0,1,0,1,0,0,1,2,00:00.0,CCSBT,57:27.0,12/30/13,759.5,Purse seiners,1,14421
432708000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=432708000+mmsi,TAIYO MARU NO. 2,,7JES,0,1,0,1,0,1,1,2,59:02.0,WCPFC,19:43.0,5/27/15,43890,Tuna purse seiners,1,15950
432685000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=432685000+mmsi,FUKUICHI MARU NO.83,,7JEG,0,1,0,1,0,1,1,2,42:06.0,WCPFC,10:18.0,5/27/15,25582,Tuna purse seiners,1,12694
432487000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=432487000+mmsi,HAKKO MARU No.2,9326251,7JAB,0,1,0,1,0,1,1,2,42:00.0,IOTC,09:06.0,3/26/13,23762,Tuna purse seiners,1,415
432487000,Purse seiners,yes,yes,WB,same vessel as last,https://www.google.com/search?q=432487000+mmsi,HAKKO MARU NO.2,,7JAB,0,1,0,1,0,1,1,2,49:14.0,WCPFC,09:06.0,5/27/15,23762,Tuna purse seiners,1,415
431796000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=431796000+mmsi,TAIKEI MARU NO.1,,JRTG,0,1,0,1,0,1,1,2,58:19.0,WCPFC,36:48.0,6/24/15,23428,Tuna purse seiners,1,1223
431679000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=431679000+mmsi,FUKUICHI MARU NO.123,,JEEX,0,1,0,1,0,1,1,2,39:55.0,WCPFC,58:43.0,5/27/15,15726,Tuna purse seiners,1,12682
431128000,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=431128000+mmsi,SHOYU MARU No.18,9746657,7JTE,0,1,0,1,0,1,1,2,21:37.0,IOTC,58:12.0,4/4/15,8234,Tuna purse seiners,1,37645
431128000,Purse seiners,yes,yes,WB,same vessel as last,https://www.google.com/search?q=431128000+mmsi,SHOYU MARU NO.18,9746657,7JTE,0,1,0,1,0,0,1,2,14:20.0,WCPFC,58:12.0,3/10/15,1029.25,Tuna purse seiners,1,37645
367374650,Purse seiners,yes,yes,WB,,https://www.google.com/search?q=367374650+mmsi,Karen Sue,,WDE6013,0,1,0,1,0,1,1,2,00:00.0,IATTC,37:11.0,8/4/15,5556,Purse seiners,1,26275
271072974,Purse seiners,yes,yes,WB,name: Kocaliler,https://www.google.com/search?q=271072974+mmsi,NŠü__Šü__YAZŠü__Šü__ REŠü__Šü__S-B,,TC5926,0,1,0,1,0,1,1,2,21:48.0,ICCAT,08:55.0,12/16/14,1884,Purse seiners,1,7002
271072878,Purse seiners,yes,yes,WB,name: Mamuli Reis III,https://www.google.com/search?q=271072878+mmsi,MAMULŠü__Šü__ REŠü__Šü__S-III,8984953,TC9921,0,1,0,1,0,1,1,2,51:10.0,ICCAT,14:43.0,5/12/15,9410,Purse seiners,1,6905
271072857,Purse seiners,yes,yes,VL,name: Remzi Aga,https://www.google.com/search?q=271072857+mmsi,REMZŠü__Šü__ AŠü__Šü__A,,TC7293,0,1,0,1,0,1,1,2,21:48.0,ICCAT,14:31.0,12/16/14,28,Purse seiners,1,6945
271072853,Purse seiners,yes,yes,VL,name: Rafet Reis - 3,https://www.google.com/search?q=271072853+mmsi,RAFET REŠü__Šü__S-3,8732831,TC5860,0,1,0,1,0,1,1,2,04:28.0,ICCAT,01:39.0,5/19/15,2664,Purse seiners,1,6913
271072851,Purse seiners,yes,yes,VL,name: Fat Balikcilik,https://www.google.com/search?q=271072851+mmsi,FAT BALIKŠü__Šü__ILIK,9536117,TCPJ5,0,1,0,1,0,1,1,2,04:28.0,ICCAT,59:25.0,5/19/15,13370,Purse seiners,1,6892
271072792,Purse seiners,yes,yes,VL,H.A.A Ogullari-3,https://www.google.com/search?q=271072792+mmsi,H.A.A.OŠü__Šü__ULLARI-II,,TC5707,0,1,0,1,0,1,1,2,21:50.0,ICCAT,16:37.0,12/16/14,2560,Purse seiners,1,7090
271072775,Purse seiners,yes,yes,VL,Karadeniz Kardesler,https://www.google.com/search?q=271072775+mmsi,KARADENŠü__Šü__Z KARDEŠü__Šü__LER,,TC4940,0,1,0,1,0,1,1,2,21:52.0,ICCAT,11:32.0,12/16/14,1206,Purse seiners,1,7272
271072756,Purse seiners,yes,yes,VL,Rafet Reis,https://www.google.com/search?q=271072756+mmsi,RAFET REŠü__Šü__S,,TC7914,0,1,0,1,0,1,1,2,57:43.0,ICCAT,56:06.0,4/9/15,7124,Purse seiners,1,6990
271072754,Purse seiners,yes,yes,VL,Ayvasil Balikcilik-1,https://www.google.com/search?q=271072754+mmsi,AYVASIL BALIKŠü__Šü__ILIK-1,,TC7233,0,1,0,1,0,1,1,2,21:47.0,ICCAT,50:43.0,12/16/14,6230,Purse seiners,1,6926
271072740,Purse seiners,yes,yes,VL,Berat Reis-1,https://www.google.com/search?q=271072740+mmsi,BERAT REŠü__Šü__S-1,,TC9254,0,1,0,1,0,1,1,2,21:49.0,ICCAT,39:26.0,12/16/14,1302,Purse seiners,1,7039
271072711,Purse seiners,yes,yes,VL,Erdogan Usta,https://www.google.com/search?q=271072711+mmsi,ERDOŠü__Šü__AN USTA,,TC9788,0,1,0,1,0,1,1,2,57:43.0,ICCAT,09:34.0,4/9/15,978,Purse seiners,1,6889
271072689,Purse seiners,yes,yes,VL,Karagozler,https://www.google.com/search?q=271072689+mmsi,KARAGŠü__Šü__ZLER-1,,TC7832,0,1,0,1,0,1,1,2,21:48.0,ICCAT,21:16.0,12/16/14,5764,Purse seiners,1,6970
271072629,Purse seiners,yes,yes,VL,Cavit Pirlant,https://www.google.com/search?q=271072629+mmsi,CAVŠü__Šü__T PIRLANT,,TC7007,0,1,0,1,0,1,1,2,21:51.0,ICCAT,11:27.0,12/16/14,2262,Purse seiners,1,7161
271072621,Purse seiners,yes,yes,VL,Azmi Reis,https://www.google.com/search?q=271072621+mmsi,AZMŠü__Šü__ REŠü__Šü__S,,TC7238,0,1,0,1,0,1,1,2,09:18.0,ICCAT,55:20.0,2/14/14,2172,Purse seiners,1,6923
271072609,Purse seiners,yes,yes,VL ,Kazim Reis ,https://www.google.com/search?q=271072609+mmsi,KAZIM REŠü__Šü__S 3,,TC9391,0,1,0,1,0,1,1,2,57:42.0,ICCAT,09:35.0,4/9/15,13310,Purse seiners,1,7113
271072573,Purse seiners,yes,yes,VL ,Tevfik Kaptan,https://www.google.com/search?q=271072573+mmsi,TEVFŠü__Šü__K KAPTAN,,TC5801,0,1,0,1,0,1,1,2,21:49.0,ICCAT,21:59.0,12/16/14,1096,Purse seiners,1,7036
271072570,Purse seiners,yes,yes,VL ,Mamatiler,https://www.google.com/search?q=271072570+mmsi,MAMATŠü__Šü__LER,9027374,TC5388,0,1,0,1,0,1,1,2,21:47.0,ICCAT,51:00.0,12/17/14,3710,Purse seiners,1,6903
271072560,Purse seiners,yes,yes,VL ,Dusrun Cinaroglu ,https://www.google.com/search?q=271072560+mmsi,DURSUN Šü__Šü__INAROŠü__Šü__LU,,TC9003,0,1,0,1,0,1,1,2,51:09.0,ICCAT,34:50.0,5/11/15,3308,Purse seiners,1,6998
271072545,Purse seiners,yes,yes,VL ,Aktaslar - B-2,https://www.google.com/search?q=271072545+mmsi,AKTAŠü__Šü__LAR B 2,,TC7341,0,1,0,1,0,1,1,2,21:47.0,ICCAT,29:47.0,12/16/14,2808,Purse seiners,1,6929
271072504,Purse seiners,yes,yes,VL ,Ali Bey ,https://www.google.com/search?q=271072504+mmsi,ALŠü__Šü__ BEY,,TC5896,0,1,0,1,0,1,1,2,57:43.0,ICCAT,01:01.0,4/9/15,3260,Purse seiners,1,30831
271072489,Purse seiners,yes,yes,VL ,H. Mucahit Reis,https://www.google.com/search?q=271072489+mmsi,H.MŠü__Šü__CAHŠü__Šü__T REŠü__Šü__S,,TC9129,0,1,0,1,0,1,1,2,21:49.0,ICCAT,46:37.0,12/16/14,598,Purse seiners,1,7072
271072476,Purse seiners,yes,yes,VL ,Firtina Balikcilik ,https://www.google.com/search?q=271072476+mmsi,FIRTINA BALIKŠü__Šü__ILIKŠü__Šü__,,TC3870,0,1,0,1,0,1,1,2,04:27.0,ICCAT,05:46.0,5/18/15,10470,Purse seiners,1,6879
271072472,Purse seiners,yes,yes,VL ,Mamati Orhan,https://www.google.com/search?q=271072472+mmsi,MAMATŠü__Šü__ ORHAN,,TCA2377,0,1,0,1,0,1,1,2,51:09.0,ICCAT,54:56.0,5/11/15,10640,Purse seiners,1,7295
