mmsi,Gear_Main_Code,Gear_Sec_Code
220375000,OTB,NO
219006115,GNS,LLS
220138000,OTB,OTB
219006281,DRB,NO
219006157,OTB,GNS
219007613,OTB,OTB
219650000,SDN,OTM
219007432,OTB,GNS
265757320,OTB,GNS
219004633,DRB,GNS
219004203,GNS,OTB
220063000,OTB,NO
219006383,GNS,LLS
219006971,OTB,OTB
219001604,GNS,GNS
220369000,OTB,OTM
219006092,OTB,NO
219015502,OTB,GNS
219121000,OTB,NO
219004277,SDN,NO
219006236,GNS,LLS
219006116,OTB,NO
219007829,GNS,OTB
219006023,OTB,NO
219905000,GNS,LLS
219651000,SDN,NO
219443000,OTB,NO
219009244,OTB,GNS
219005878,OTB,OTB
219754000,OTB,GNS
230942350,OTM,OTB
220341000,OTB,NO
219012897,GNS,LLS
219271000,OTB,NO
219007314,OTB,GNS
219001149,OTB,SDN
219009274,OTB,GNS
266085000,OTB,OTB
219004307,OTB,GNS
219005881,GNS,NO
219660000,GNS,GNS
219001723,GNS,SDN
220353000,GNS,OTB
219009542,SDN,OTB
219441000,GNS,NO
230069190,OTB,OTM
219005776,GNS,NO
219004242,OTB,GNS
219176000,OTB,NO
219007235,OTB,OTM
219015617,OTB,GNS
219012276,OTB,GNS
220137000,OTB,NO
219005964,OTB,NO
219001624,OTB,NO
219002157,OTB,NO
219004119,GNS,GNS
219904000,OTB,NO
219001569,GNS,NO
219016588,LLS,GNS
230063680,OTM,PTM
219009334,LLS,GNS
219740000,OTB,NO
219503000,OTB,NO
219013106,GNS,GNS
235086094,FPO,NO
219011765,GNS,LLS
219799000,SDN,NO
219001518,OTB,OTB
219005805,OTB,GNS
265670930,GNS,LHP
219002051,OTB,GNS
266426000,OTB,NO
219009799,GNS,OTB
219007234,OTB,NO
219006443,GNS,LLS
219005863,OTB,OTB
220038000,OTB,GNS
219661000,GNS,NO
219005929,GNS,GNS
219467000,OTM,OTB
220046000,OTB,GNS
220142000,OTB,OTB
219011179,GNS,LLS
219751000,OTB,OTB
220313000,OTB,GNS
219762000,GNS,OTB
219008474,OTB,NO
219005901,GNS,GNS
219001549,OTB,GNS
219000855,OTB,NO
277354000,OTM,NO
219003561,DRB,OTB
230941050,OTM,PTM
219006333,GNS,LLS
219001642,GNS,GNS
261013080,OTB,GNS
219008145,GNS,GNS
219005866,GNS,NO
219002415,GNS,LLS
219125000,GNS,NO
277346000,OTM,NO
219002409,OTB,OTM
277029000,OTM,NO
220213000,TBB,OTB
219016806,GNS,GNS
219138000,OTB,OTB
219743000,OTB,NO
219007333,GNS,LLS
219005847,GNS,OTB
219007313,GNS,NO
220398000,GNS,LLS
219007459,GNS,NO
219007606,GNS,GNS
219016004,GNS,GNS
219004617,GNS,GNS
244507000,OTT,OTB
219862000,OTB,OTB
219009907,OTB,GNS
220127000,OTB,GNS
219006916,GNS,GNS
220071000,GNS,SDN
219002881,OTB,NO
219006283,DRB,NO
220343000,OTB,OTB
219001976,OTB,NO
219002506,OTB,NO
211648000,GNS,LLS
219007492,GNS,GNS
219002811,GNS,GNS
220242000,OTB,NO
219007036,OTB,GNS
219257000,OTB,NO
219004002,GNS,GTR
220000052,OTM,GNS
250001333,DRB,NO
219008927,OTB,GNS
220339000,OTB,OTM
219005902,GNS,OTB
219597000,OTB,OTB
219005867,OTB,NO
219000618,TBB,OTB
219000617,TBB,TBB
220383000,TBB,OTB
219793000,OTM,OTB
219004128,OTB,NO
219106000,OTB,GNS
220323000,OTB,NO
235068506,OTB,NO
219002251,OTB,NO
219019804,OTM,OTM
219000897,OTB,OTB
250002036,OTM,NO
219872000,GNS,OTB
219005513,GNS,LLS
219001125,OTB,OTB
219853000,SDN,OTB
220307000,OTB,NO
219867000,OTB,NO
219946000,GNS,GNS
219001181,TBB,NO
220345000,OTB,NO
219921000,OTB,NO
219001204,GNS,OTB
219922000,GNS,GNS
219005671,GNS,LLS
219941000,GNS,GNS
219948000,OTB,NO
219001265,TBB,NO
219956000,OTB,OTM
219005921,OTB,NO
219001189,TBB,NO
219959000,OTB,OTB
220000057,GNS,NO
219006005,OTB,GNS
219011649,GNS,GNS
219001664,OTB,GNS
219014276,OTB,NO
219002023,OTB,GNS
220043000,OTB,SDN
220042000,OTB,OTB
220109000,OTB,OTM
220329000,OTB,OTB
219009599,OTB,NO
220135000,OTB,NO
219002464,GNS,SDN
220151000,OTB,NO
219002586,GNS,NO
220099000,OTB,NO
220182000,OTM,OTM
219002838,OTB,NO
266332000,OTB,OTM
220204000,OTB,NO
220202000,OTB,NO
219003849,GNS,OTB
219004043,OTB,NO
219709000,OTB,NO
220225000,OTB,NO
220228000,TBB,NO
220257000,OTB,NO
219005286,OTB,OTB
220283000,OTB,TBB
219005502,OTB,NO
219005454,GNS,NO
219007034,OTB,GNS
219007404,GNS,LLS
219007944,OTB,GNS
220461000,PS,OTB
220482000,OTM,PS
219009041,TBB,NO
219010818,GNS,LLS
