MMSI,Call sign,Selective call number,Name of station,Administration/ Geographical area,Lifeboats,Auxiliary installations (EPIRBs),General classification,Individual classification,Registration number,Gross tonnage,Capacity of persons on board,Telegraph transmission frequency bands,Telegraph transmission frequency bands 2,Accounting Authority Identification Code (AAIC)
205249810,OR2498,,BELONE,BEL,,,PL,XXX,A744129,"3,5",8,,V,
205249910,OR2499,,ODINA,BEL,,,PL,XXX,B743569,16,,,V,
205250000,ONFN,,MINERAL DRAGON,BEL,2,,MM,BLK,,901685,30,,STUV,
205250010,OR2500,,BIZZY,BEL,,,PL,XXX,A746702,,10,,V,
205250110,OR2501,,NO COMMENT,BEL,,,PL,XXX,B750973,1,2,,V,
205250200,OS2502,,ONIDEN,BEL,,,PL,XXX,A714804,,,,V,BE01
205250210,OR2502,,BERLIOZ,BEL,,,PL,XXX,A756971,"1,5",6,,V,
205250310,OR2503,,SEADUVEL,BEL,,,PL,XXX,B51969,1,12,,V,
205250410,OR2504,,FELIX,BEL,,,PL,XXX,L730361,"2,8",,,V,
205250510,OR2505,,ARWEN,BEL,,,PL,XXX,K749660,5,,,V,
205250610,OR2506,,MIRANDA,BEL,,,PL,XXX,A785284,,,,V,
205250710,OR2507,,SYNERGIE II,BEL,,,PL,XXX,G749283,"6,3",6,,V,
205250810,OR2508,,BURO,BEL,1,,PL,XXX,K750671,14,10,,V,
205250900,OS2509,,MC FLY,BEL,,,PL,XXX,B741759,,,,V,BE01
205250910,OR2509,,CHOCOLATE BAY,BEL,2,,PL,XXX,,20,12,,V,
205251000,ORLW,,VLAANDEREN VII,BEL,,,MM,DRG,ZA562,941,6,,STUV,BE03
205251010,OR2510,,MEERMIN,BEL,1,,PL,XXX,A743648,4,5,,V,
205251110,OR2511,,RENSKE,BEL,1,,PL,XXX,G787784,13,8,,V,
205251210,OR2512,,DELFINO,BEL,1,,PL,XXX,K761543,"6,500",8,,V,
205251300,OS2513,,FRANNY,BEL,,,PL,XXX,K718061,5,5,,V,BE01
205251310,OR2513,,WHITE LADY,BEL,,,PL,XXX,B109992,6,8,,V,
205251400,OS2514,,SUNNY BOY,BEL,,,PL,XXX,A757914,,8,,V,
205251410,OR2514,,EXPLORER,BEL,,,PL,XXX,A719574,"0,5",2,,V,
205251500,OS2515,,JEUX D’EAU,BEL,,,PL,XXX,A738483,3,,,V,
205251510,OR2515,,MATHICE,BEL,,,PL,XXX,A765365,8.5,,,V,
205251600,OS2516,,PILCHARD,BEL,,,PL,XXX,B42741,"1,000",,,V,
205251610,OR2516,,VEPA,BEL,,,PL,XXX,B749503,8,,,V,
205251700,OS2517,,BRISOU,BEL,,,PL,XXX,B787483,3,9,,V,
205251800,OS2518,,GREYBEARD,BEL,,,PL,XXX,A735760,10,4,,V,BE01
205251810,OR2518,,FANJI,BEL,,,PL,XXX,L749592,5,4,,V,
205251910,OR2519,,ABSOLUT,BEL,,,PL,XXX,G749919,19,,,V,
205252000,ORLX,,VLAANDEREN VIII,BEL,,,XX,DRG,ZA563,941,6,,STUV,BE03
205252010,OR2520,,MARIE-JEANNE,BEL,,,PL,XXX,G747757,1.6,6,,V,
205252110,OR2521,,APHRODITE,BEL,,,PL,XXX,K746534,,,,V,
205252200,OS2522,,DE KNOOP,BEL,,,PL,XXX,K731906,6,6,,V,
205252210,OR2522,,BLUE LAGOON,BEL,,,PL,XXX,K769319,,8,,V,
205252410,OR2524,,OTTER,BEL,1,,PL,XXX,A748656,5.8,4,,V,
205252500,OS2525,S73940,KIMBARK,BEL,1,,PL,XXX,B725569,"5,5",6,,V,BE01
205252510,OR2525,,GERONIMO,BEL,,,PL,XXX,A748218,,,,V,
205252600,OS2526,,LAVEZZI,BEL,,,PL,XXX,A741704,,12,,V,
205252610,OR2526,,SAGITTAIRE,BEL,,,PL,XXX,K779264,,8,,V,
205252700,OS2527,,QUETZALCOATL 2,BEL,,,PL,XXX,B751789,,6,,V,
205252710,OR2527,,SEA HORSE,BEL,,,PL,XXX,A733085,3,5,,V,
205252800,OS2528,,ALETHEIA,BEL,,,PL,XXX,L798132,,,,V,
205252810,OR2528,,GABY,BEL,,,PL,XXX,B785608,,6,,V,
205252910,OR2529,,XANADU,BEL,,,PL,XXX,B747196,"5,6",,,V,
205253010,OR2530,,SEADUCTION,BEL,,,PL,XXX,B750822,25,,,V,
205253100,OS2531,,NOSTALGIE,BEL,,,PL,XXX,G739286,10,,,V,
205253110,OR2531,,NARID,BEL,1,,PL,XXX,A750705,"6,5",8,,V,
205253200,OS2532,,ANTHEMIS III,BEL,,,PL,XXX,B743983,6,6,,V,
205253210,OR2532,,ALCYVITA,BEL,,,PL,XXX,B750540,9,8,,V,
205253300,OS2533,,NIRVANA,BEL,,,PL,XXX,L791403,1.8,,,V,
205253310,OR2533,,MARO,BEL,,,PL,XXX,B750584,12,8,,V,
205253400,OS2534,,PYXIS,BEL,,,PL,XXX,B799603,"1,905",6,,V,
205253410,OR2534,,VIBRATO,BEL,,,PL,XXX,B750569,6,8,,V,
205253500,OS2535,,OFFALY,BEL,1,,PL,XXX,B767951,"9,3",12,,V,
205253510,OR2535,,ALIZE,BEL,,,PL,XXX,K782237,12,2,,V,
205253610,OR2536,,CORIOLIS,BEL,,,PL,XXX,B749670,9,8,,V,
205253710,OR2537,,LA VOLTA 3,BEL,,,PL,XXX,B750386,15,,,V,
205253810,OR2538,,AN ORIANT,BEL,,,PL,XXX,B749668,9,8,,V,
205254000,OPBJ,,ARCA,BEL,,,FV,PH,ZVIS169,,,,TUV,BE01
205254010,OR2540,,CHIARE,BEL,,,PL,XXX,A750131,,,,V,
205254100,OS2541,,LADY,BEL,1,,PL,XXX,L732350,,12,,V,
205254110,OR2541,,IDEFIXE,BEL,,,PL,XXX,G744529,,,,V,
205254200,OS2542,,POKOPOK,BEL,,,PL,XXX,A735960,3,6,,V,
205254210,OR2542,,VAYU,BEL,,,PL,XXX,K808178,9,12,,V,
205254310,OR2543,,WIND SONG,BEL,1,,PL,XXX,A748090,15,6,,V,
205254500,OS2545,,YOUKALI,BEL,,,PL,XXX,G785934,"2,500",5,,V,
205254510,OR2545,,GUSTO,BEL,,,PL,XXX,A775439,3.7,6,,V,
205254610,OR2546,,LAGUNA,BEL,,,PL,XXX,A748139,,6,,V,
205254700,OS2547,,POMELATTO,BEL,1,,PL,XXX,A742204,3,8,,V,
205254710,OR2547,,PAGADDER,BEL,,,PL,XXX,A746850,1,6,,V,
205254810,OR2548,,SAMBA,BEL,1,,PL,XXX,A739196,10,4,,V,
205254900,OS2549,,STINGRAY 6,BEL,,,PL,XXX,K773617,2,5,,V,
205254910,OR2549,,ZENITH,BEL,,,PL,XXX,A777150,14,6,,V,
205255010,OR2550,,ELISABETH,BEL,,,PL,XXX,B748654,"6,350",6,,V,
205255100,OS2551,,CABOCHARD,BEL,,,PL,XXX,K742391,4,6,,V,
205255110,OR2551,,SANMANO,BEL,,,PL,XXX,K750976,2,4,,V,
205255200,OS2552,,CAVLAN,BEL,,,PL,XXX,A735816,5,8,,V,
205255210,OR2552,,PORTOS II,BEL,8,,PL,XXX,B767913,"3,5",,,V,
205255310,OR2553,,JEF’S,BEL,,,PL,XXX,G790300,2,,,V,
205255410,OR2554,,LE VOLGA,BEL,,,PL,XXX,L742696,3,4,,V,
205255510,OR2555,,ANJARO II,BEL,2,,PL,XXX,B740048,52,10,,V,
205255610,OR2556,,THE PROUD OF CATALUNIA,BEL,,,PL,XXX,A739504,,7,,V,
205255710,OR2557,,SEA KING,BEL,1,,PL,XXX,A750855,8,,,V,
205255810,OR2558,,VADDERIK,BEL,,,PL,XXX,A748073,,6,,V,
205255900,OS2559,,ISLAND,BEL,,,PL,XXX,K738363,,,,V,
205255910,OR2559,,DEJONKMAN,BEL,,,PL,XXX,K759934,,,,V,
205256000,ORMF,,DN 62,BEL,,,,,ZA568,39,32,,,BE06
205256010,OR2560,,EQUINOX,BEL,,,PL,XXX,G746842,3,12,,V,
205256100,OS2561,,GRAN RESERVE,BEL,,,PL,XXX,K781306,2,,,V,
205256110,OR2561,,KASTAAR,BEL,,,PL,XXX,A747880,38,,,V,
205256200,OS2562,,NINIX,BEL,1,,PL,XXX,K731290,6,8,,V,BE01
205256210,OR2562,,EAUCONTREAIR,BEL,,,PL,XXX,G748549,8,8,,V,
205256300,OS2563,S73926,SKAL,BEL,,,PL,XXX,G756518,,,,V,
205256410,OR2564,,CORMORAN,BEL,,,PL,XXX,A740427,,8,,V,
205256500,OS2565,,NORFA,BEL,,,PL,XXX,A744064,9,,,V,BE01
205256510,OR2565,,ELDO,BEL,,,PL,XXX,B737975,10,,,V,
205256600,OS2566,,MYTHOS,BEL,1,,PL,XXX,G774866,4.5,5,,V,
205256610,OR2566,,TIMELESS,BEL,,,PL,XXX,B748685,12,,,V,
205256710,OR2567,,BLUE EYE,BEL,,,PL,XXX,A749894,8,,,V,
205256900,OS2569,,OP STOK 3,BEL,1,,PL,XXX,A753707,18,6,,V,BE01
205256910,OR2569,,WHITE PRINCESS,BEL,1,,PL,XXX,A782846,11,8,,V,
205257000,ORMG,,DN 63,BEL,1,,XX,,ZA715,11,5,,V,BE06
205257010,OR2570,,SELAVI,BEL,,,PL,XXX,B772285,"9,5",8,,V,
205257100,OS2571,,JASON,BEL,,,PL,XXX,A730515,10,,,V,
205257110,OR2571,,SEB-DO,BEL,,,PL,XXX,B749885,1,8,,V,
205257200,OS2572,,RAINBOW,BEL,,,PL,XXX,K767195,"7,5",6,,V,
205257210,OR2572,,VIPER,BEL,,,PL,XXX,A764292,"2,5",,,V,
205257300,OS2573,,DART,BEL,,,PL,XXX,A761617,11,,,V,
205257310,OR2573,,EVAZION,BEL,,,PL,XXX,B726872,7,,,V,
205257400,OS2574,,PATIENCE,BEL,1,,PL,XXX,B792002,10,5,,V,
205257410,OR2574,,DJORKA,BEL,,,PL,XXX,K750667,"1,6",6,,V,
205257500,OS2575,,HELENA,BEL,1,,PL,XXX,A744167,8,10,,V,
205257510,OR2575,,CYBELLE,BEL,1,,PL,XXX,B09750,15,4,,V,
205257610,OR2576,,SPEELVOGEL,BEL,,,PL,XXX,G750724,30,,,V,
205257710,OR2577,,NICE,BEL,,,PL,XXX,A747311,1,6,,V,
205257800,OS2578,,BOTE 2,BEL,,,PL,XXX,A746149,4,8,,V,BE01
205257810,OR2578,,CUPIDON,BEL,,,PL,XXX,L732379,,,,V,
205257910,OR2579,,CAJMAN,BEL,,,PL,XXX,K750046,,8,,V,
205258000,OPHE,,GRIETJE-HENDRIKA,BEL,,,FV,PH,,109,,,TV,BE01
205258010,OR2580,,ZOUTELIEF,BEL,,,PL,XXX,B802512,4,5,,V,
205258100,OS2581,,LIBERTY,BEL,,,PL,XXX,A742848,14,7,,V,
205258110,OR2581,,WATERMAN II,BEL,,,PL,XXX,K759967,,,,V,
205258200,OS2582,,FEELING,BEL,,,PL,XXX,A708763,,10,,V,
205258210,OR2582,,DOL-FIJN,BEL,,,PL,XXX,G751055,"3,5",8,,V,
205258310,OR2583,,CAMARO 2,BEL,,,PL,XXX,B777449,2,8,,V,
205258410,OR2584,,ZAZA,BEL,1,,PL,XXX,L747940,1,4,,V,
205258510,OR2585,,TANARA,BEL,,,PL,XXX,G737758,1,6,,V,
205258610,OR2586,,CHICOUF,BEL,,,PL,XXX,A769336,"5,5",8,,V,
205258700,OS2587,,TORNADO,BEL,,,PL,XXX,A751187,,,,V,
205258710,OR2587,,LENNERT,BEL,,,PL,XXX,A751028,"1,5",4,,V,
205258800,OS2588,,BOFOR,BEL,,,PL,XXX,G803323,1.76,7,,V,
205258810,OR2588,,WINSOME,BEL,,,PL,XXX,A751005,"6,7",,,V,
205258900,OS2589,,INNUENDO,BEL,,,PL,XXX,B737780,21,12,,V,
205258910,OR2589,,CALINA,BEL,,,PL,XXX,K743087,8,4,,V,
205259000,OPCA,S73522,VAN EYCK,BEL,1,,FV,PH,ZVIS704,234,5,,TV,BE01
205259010,OR2590,,VICTORIA,BEL,1,,PL,XXX,L798438,7,8,,V,
205259110,OR2591,,OKILEBO,BEL,1,,PL,XXX,B726459,37,8,,V,
205259210,OR2592,,MELUSINE,BEL,,,PL,XXX,B750921,3,6,,V,
205259410,OR2594,,ALCATRUZ,BEL,,,PL,XXX,A753419,15,2,,V,
205259510,OR2595,,CLOCHARD,BEL,,,PL,XXX,G805759,3,4,,V,
205259600,OS2596,,REDSKIN II,BEL,,,PL,XXX,K731366,5,10,,V,
205259610,OR2596,,VRIJLAND,BEL,,,PL,XXX,A761913,3,2,,V,
205259700,OS2597,,PROJECT,BEL,,,PL,XXX,K736657,,,,V,BE01
205259710,OR2597,,HIDALGO,BEL,,,PL,XXX,K773097,"3,6",6,,V,
205259800,OS2598,,FIPS,BEL,1,,PL,XXX,G762989,5.5,4,,V,BE01
205259810,OR2598,,TRUWIE,BEL,,,PL,XXX,G805540,9,,,V,
205259910,OR2599,,PASSPARTOO,BEL,1,,PL,XXX,B734173,12,10,,V,
205260000,OPHP,,MARGARET OF LADNAM,BEL,1,,FV,PH,ZVIS260,264,6,,TUV,BE01
205260010,OR2600,,NO POINT,BEL,,,PL,XXX,L786936,12,4,,V,
205260110,OR2601,,BLAO,BEL,,,PL,XXX,A750743,3.5,4,,V,
205260210,OR2602,,KING FISH,BEL,,,PL,XXX,G787370,"0,875",5,,V,
205260300,OS2603,,SEA GULL,BEL,,,PL,XXX,A743712,,,,V,BE01
205260310,OR2603,,DRS I,BEL,,,PL,XXX,B732981,,10,,V,
205260410,OR2604,,BORITA,BEL,,,PL,XXX,A750961,13,4,,V,
205260510,OR2605,,CARPE DIEM,BEL,,,PL,XXX,L749279,3,6,,V,
205260610,OR2606,,ALLEGRA,BEL,,,PL,XXX,B748293,17,7,,V,
205260700,OS2607,,SEA EAGLE III,BEL,1,,PL,XXX,A730390,15,14,,V,BE01
205260710,OR2607,,SABIJAC,BEL,,,PL,XXX,BC773498,19,,,V,
205260800,OS2608,,ELEONORE,BEL,,,PL,XXX,A743020,,,,V,
205260810,OR2608,,LAVENDEL,BEL,1,,PL,XXX,K786482,"3,5",2,,V,
205260900,OS2609,,TENACE,BEL,,,PL,XXX,Z758820,,6,,V,
205260910,OR2609,,SERENITY,BEL,,,PL,XXX,G750706,"14,16",,,V,
205261010,OR2610,,BLUE PEARL,BEL,1,,PL,XXX,K780566,"4,8",7,,V,
205261100,OS2611,,VAMOS,BEL,,,PL,XXX,B106183,,,,V,BE01
205261110,OR2611,,PUFFIN III,BEL,,,PL,XXX,G781995,9,,,V,
205261210,OR2612,,WILDER,BEL,,,PL,XXX,A751294,9,,,V,
205261300,OS2613,,GHOST,BEL,,,PL,XXX,A718578,1,10,,V,BE01
205261310,OR2613,,POLE POLE,BEL,,,PL,XXX,A751274,9,,,V,
205261410,OR2614,,BALEAR KA II,BEL,,,PL,XXX,L748913,2.5,15,,V,
205261500,OS2615,,RED REBEL,BEL,1,,PL,XXX,K736148,6,6,,V,BE01
205261510,OR2615,,LIVIA,BEL,,,PL,XXX,L762514,1,6,,V,
205261600,OS2616,,FEEKE,BEL,,,PL,XXX,K738657,,6,,V,
205261710,OR2617,,PEREGRIN,BEL,,,PL,XXX,B735794,,6,,V,
205261810,OR2618,,PIEDS DANS L’EAU,BEL,,,PL,XXX,A751059,14,,,V,
205261910,OR2619,,GRAZIE MARE,BEL,,,PL,XXX,Z778012,5,,,V,
205262000,OPAO,,ZEEMEEUW - O15,BEL,,,FV,PH,,,,,STUV,BE09
205262010,OR2620,,L’AVENTURIER,BEL,,,PL,XXX,B750176,6,7,,V,
205262110,OR2621,,TIXA,BEL,1,,PL,XXX,B744987,8,6,,V,
205262210,OR2622,,PAGADDER,BEL,,,PL,XXX,A782177,,6,,V,
205262300,OS2623,,FREEWILLY,BEL,,,PL,XXX,B65150,"7,5",,,V,BE01
205262310,OR2623,,CONQUISTADOR,BEL,1,,PL,XXX,K747889,20,10,,V,
205262400,OS2624,,"HOUDERSVERGUNNING
SCHEEPSSTATION",BEL,,,PL,XXX,A780338,"0,65",6,,V,BE01
205262410,OR2624,,CARAMEL,BEL,1,,PL,XXX,A751127,12,10,,V,
205262510,OR2625,,BLUE DREAM,BEL,,,PL,XXX,G751098,2.5,5,,V,
205262610,OR2626,,VESPER,BEL,1,,PL,XXX,A786350,14,6,,V,
205262710,OR2627,,NO DESTINY,BEL,,,PL,XXX,A731587,6,,,V,
205262800,OS2628,,BLUE CHIP,BEL,,,PL,XXX,B716791,,,,V,BE01
205262810,OR2628,,HELENA,BEL,,,PL,XXX,G788800,"11,7",2,,V,
205262910,OR2629,,HUBERBU,BEL,,,PL,XXX,B768189,2,12,,V,
205267110,OR2671,,LAZULI,BEL,1,,PL,XXX,BC788020,"8,820",12,,V,
205267210,OR2672,,GUINEVERE OF TORRIDGE,BEL,,,PL,XXX,K751423,,6,,V,
205267310,OR2673,,EL REGALO,BEL,,,PL,XXX,G746296,1.1,12,,V,
205267410,OR2674,,VALVIC,BEL,,,PL,XXX,B749635,,8,,V,
205267510,OR2675,,FIVER,BEL,,,PL,XXX,G739576,,11,,V,
205267600,OS2676,,MARIE-LOU,BEL,,,PL,XXX,K759425,40,,,V,
205267610,OR2676,,ALEGRIA,BEL,,,PL,XXX,B785843,"6,700",8,,V,
205267800,OS2678,,SPIRIT OF HECTOR,BEL,1,,PL,XXX,K741772,,6,,V,
205267810,OR2678,,ACCIPITER,BEL,,,PL,XXX,K739067,3.3,,,V,
205267900,OS2679,,URKO,BEL,,,PL,XXX,B724679,"7,5",6,,V,
205267910,OR2679,,DAKOTA,BEL,1,,PL,XXX,B750087,18,10,,V,
205268010,OR2680,,TIGO,BEL,,,PL,XXX,G802758,7,8,,V,
205268110,OR2681,,HOPPI DREAM,BEL,,,PL,XXX,L751521,,,,V,
205268200,OS2682,,SPECIAL ONE,BEL,1,,PL,XXX,A747452,10,13,,V,BE01
205268300,OS2683,,SPIROU,BEL,,,PL,XXX,B793893,7,8,,V,BE01
205268310,OR2683,,JEPEKAAN-TORA,BEL,,,PL,XXX,A750755,12,,,V,
205268410,OR2684,,POPKE II,BEL,,,PL,XXX,B749872,2.2,7,,V,
205268500,OS2685,S73621,TWINKLE,BEL,,,PL,XXX,A752847,,,,V,BE01
205268510,OR2685,,HUSKY II,BEL,1,,PL,XXX,G783773,32,12,,V,
205268600,OS2686,,NYMPHEA,BEL,,,PL,XXX,B776170,11,,,V,BE01
205268610,OR2686,,M&M,BEL,,,PL,XXX,K750305,,8,,V,
205268710,OR2687,,STEPPE,BEL,,,PL,XXX,A743562,12.4,8,,V,
205268800,OS2688,,ZEE EGEL B26,BEL,,,PL,XXX,L796547,16,6,,V,
205268810,OR2688,,PLAYA,BEL,,,PL,XXX,K750640,,6,,V,
205268900,OS2689,,NASTER,BEL,,,PL,XXX,K748032,4,10,,V,
205268910,OR2689,,ZED 3,BEL,,,PL,XXX,B751444,4.5,8,,V,
205269000,OPDW,,FISTON,BEL,,,FV,PH,ZVIS689,33,3,,V,BE01
205269010,OR2690,,ERIDAN,BEL,,,PL,XXX,B49063,11,,,V,
205269100,OS2691,,ROMEO,BEL,,,PL,XXX,G759811,5,6,,V,BE01
205269110,OR2691,,VIOS,BEL,,,PL,XXX,K780020,20,,,V,
205269210,OR2692,,CLICQUOT,BEL,,,PL,XXX,B788707,,,,V,
205269310,OR2693,,CIRCEE,BEL,,,PL,XXX,B736586,9,8,,V,
205269410,OR2694,,BINGO CREPUSCULE,BEL,1,,PL,XXX,B794784,4,8,,V,
205269500,OS2695,,NAKA III,BEL,,,PL,XXX,A737836,14,,,V,
205269510,OR2695,,KEESTA,BEL,,,PL,XXX,B736324,,,,V,
205269600,OS2696,,LANG XA,BEL,,,PL,XXX,B761697,,6,,V,
205269610,OR2696,,CRISWILL,BEL,,,PL,XXX,B760364,12,,,V,
205269710,OR2697,,QUIDAM,BEL,,,PL,XXX,G751719,,4,,V,
205269900,OS2699,,BOLERO,BEL,,,PL,XXX,A743722,14,2,,V,
205269910,OR2699,,DOLCE VITA,BEL,,,PL,XXX,K749105,,,,V,
205270000,OPEF,,JEANINNE - MARGARET,BEL,,,FV,PH,,,,,V,BE01
205270010,OR2700,,ZOFINKA,BEL,,,PL,XXX,B57580,8,15,,V,
205270110,OR2701,,TADORNE,BEL,,,PL,XXX,L750149,4,8,,V,
205270210,OR2702,,CLOD,BEL,,,PL,XXX,B749985,4,5,,V,
205270300,OS2703,,SHARONA,BEL,,,PL,XXX,K406097,5,,,V,
205270410,OR2704,,NORALIE,BEL,,,PL,XXX,G750243,2,,,V,
205270510,OR2705,,ULIXES,BEL,1,,PL,XXX,A743716,13,10,,V,
205270610,OR2706,,FREIA,BEL,,,PL,XXX,A735231,7.6,6,,V,
205270710,OR2707,,MADRUGADA,BEL,,,PL,XXX,K751760,8.6,,,V,
205270810,OR2708,,JADRAN,BEL,,,PL,XXX,K747622,4,,,V,
205270910,OR2709,,SANOEK,BEL,,,PL,XXX,A775226,13,,,V,
205271000,OPEL,,NOSTALGIE,BEL,1,,FV,PH,ZVIS730,33,,,V,BE01
205271010,OR2710,,BLUE BAYOU,BEL,1,,PL,XXX,L750917,15,5,,V,
205271100,OS2711,,FRAMAGO,BEL,,,PL,XXX,G800412,11,,,V,BE01
205271110,OR2711,,CESAR,BEL,1,,PL,XXX,A751655,,,,V,
205271200,OS2712,,VAGANT,BEL,,,PL,XXX,G774912,12,,,V,
205271210,OR2712,,BALENA,BEL,,,PL,XXX,G807489,0.7,6,,V,
205271300,OS2713,,PICKWICK,BEL,,,PL,XXX,A709740,,,,V,
205271310,OR2713,,BABACOOL,BEL,,,PL,XXX,K748518,4.5,8,,V,
205271400,OS2714,,HAPPY - DART,BEL,,,PL,XXX,A742820,7,10,,V,
205271510,OR2715,,DJANGO,BEL,,,PL,XXX,A751704,18,,,V,
205271600,OS2716,,SCHAMPAVIE,BEL,,,PL,XXX,B66493,,,,V,
205271610,OR2716,,PJEURKE,BEL,,,PL,XXX,A738777,13,,,V,
205271700,OS2717,,AD HOC,BEL,,,PL,XXX,B741550,,6,,V,
205271710,OR2717,,WESLY,BEL,,,PL,XXX,A75062,18,8,,V,
205271810,OR2718,,ARTABAN,BEL,1,,PL,XXX,A751045,6,6,,V,
205271900,OS2719,,BJORN-B,BEL,,,PL,XXX,A725866,,,,V,BE01
205271910,OR2719,,MINOR,BEL,,,PL,XXX,A750727,,8,,V,
205272010,OR2720,,LOTUS,BEL,,,PL,XXX,B751705,8,6,,V,
205272110,OR2721,,TOMMY,BEL,,,PL,XXX,B760542,8,6,,V,
205272200,OS2722,,YOHDA,BEL,,,PL,XXX,B760049,10,5,,V,BE01
205272210,OR2722,,VICTORIA,BEL,,,PL,XXX,B57746,9,8,,V,
205272310,OR2723,,VEVEY,BEL,,,PL,XXX,G751813,,10,,V,
205272400,OS2724,,OBSESSION,BEL,,,PL,XXX,G803581,3.5,,,V,
205272410,OR2724,,MAIMOTI,BEL,,,PL,XXX,B748457,7,,,V,
205272510,OR2725,,FREE TIME,BEL,1,,PL,XXX,K768588,13.5,6,,V,
205272600,OS2726,,ESPRESSO,BEL,,,PL,XXX,A734385,,8,,V,
205272610,OR2726,,JONA,BEL,,,PL,XXX,A752348,11,,,V,
205272710,OR2727,,SEABIRD,BEL,,,PL,XXX,G750704,2,8,,V,
205272800,OS2728,,TOLERANCE,BEL,,,PL,XXX,B714018,"8,3",,,V,
205272810,OR2728,,DUKDALF,BEL,,,PL,XXX,K737542,2,,,V,
205272900,OS2729,,KIK,BEL,,,PL,XXX,A703438,,,,V,BE01
205272910,OR2729,,NOA,BEL,1,,PL,XXX,G751957,12,3,,V,
205273000,OPHI,,MATIMO,BEL,1,,FV,PH,ZVIS705,54,4,,TV,
205273010,OR2730,,NEREE,BEL,,,PL,XXX,A736730,"2,7",6,,V,
205273100,OS2731,,LAEXA,BEL,,,PL,XXX,BC109881,,,,V,BE01
205273110,OR2731,,CIRCE,BEL,,,PL,XXX,G735314,"6,6",6,,V,
205273200,OS2732,,MUCOLOR,BEL,,,PL,XXX,G737373,,6,,V,
205273210,OR2732,,SPIRIT OF ARIELLE,BEL,,,PL,XXX,B751225,"3,5",8,,V,
205273310,OR2733,,DORIANE,BEL,,,PL,XXX,K745940,,6,,V,
205273410,OR2734,,TOI.T,BEL,,,PL,XXX,L725828,,,,V,
205273510,OR2735,,THISBE,BEL,,,PL,XXX,G785777,"1,6",6,,V,
205273600,OS2736,,ALPHARD,BEL,1,,PL,XXX,B741015,14,6,,V,
205273610,OR2736,,GRIETY,BEL,,,PL,XXX,G747561,4,4,,V,
205273710,OR2737,,NIXIE,BEL,,,PL,XXX,G739568,"1,6",8,,V,
205273810,OR2738,,MAYBE,BEL,,,PL,XXX,L752080,10,8,,V,
205273900,OS2739,,KOBOLD,BEL,1,,PL,XXX,G769622,9,6,,V,BE01
205273910,OR2739,,LUNA II,BEL,,,PL,XXX,G746332,"3,6",7,,V,
205274000,OPIQ,,NORMAN KIM,BEL,,,FV,PH,,,,,TUV,BE01
205274010,OR2740,,ZARINDA,BEL,,,PL,XXX,A750972,,8,,V,
205274110,OR2741,,PHOCA,BEL,1,,PL,XXX,A775415,"4,9",6,,V,
205274200,OS2742,,WHITE SWAN,BEL,,,PL,XXX,K747608,,,,V,BE01
205274210,OR2742,,STROEFI,BEL,,,PL,XXX,G758263,7.5,4,,V,
205274300,OS2743,,FRIEDA 3,BEL,,,PL,XXX,G755747,11,4,,V,
205274310,OR2743,,KALISA III,BEL,,,PL,XXX,A770443,13,,,V,
205274410,OR2744,,ROBY,BEL,,,PL,XXX,B751903,5,,,V,
205274510,OR2745,,BLING BLING,BEL,,,PL,XXX,G741322,1,4,,V,
205274600,OS2746,,SPIRIWIT,BEL,1,,PL,XXX,B741933,6,4,,V,
205274610,OR2746,,ROBY II,BEL,1,,PL,XXX,G747594,,6,,V,
205274710,OR2747,,OJANDE,BEL,,,PL,XXX,A752254,,6,,V,
205274800,OS2748,,SEAGEN,BEL,,,PL,XXX,K737177,,7,,V,
205274810,OR2748,,LE PALETUVIER,BEL,,,PL,XXX,BC746557,,12,,V,
205275000,OPBG,,MARBI,BEL,1,,FV,PH,ZVIS253,254,8,,TUV,BE01
205275110,OR2751,,FAVORI,BEL,,,PL,XXX,B751546,,,,V,
205275200,OS2752,S73848,DAVID-PETER,BEL,,,PL,XXX,,8,,,V,
205275210,OR2752,,JAMAJOSA,BEL,,,PL,XXX,G744906,12,8,,V,
205275300,OS2753,,EARLY BIRD,BEL,,,PL,XXX,A701769,7,6,,V,
205275310,OR2753,,PHAKER,BEL,1,,PL,XXX,A749711,5,8,,V,
205275400,OS2754,,ZEEPAARD,BEL,,,PL,XXX,A770219,6,5,,V,
205275510,OR2755,,CALAMITY G,BEL,,,PL,XXX,B751569,,16,,V,
205275610,OR2756,,TOOTS,BEL,,,PL,XXX,B751654,"0,8",6,,V,
205275710,OR2757,,ACQUOLINA,BEL,1,,PL,XXX,A738662,"4,7",8,,V,
205275810,OR2758,,SWAJIN,BEL,,,PL,XXX,A751101,15,3,,V,
205275910,OR2759,,LIVITY,BEL,,,PL,XXX,B749331,6,6,,V,
205276010,OR2760,,L’AS DES AS,BEL,,,PL,XXX,A751934,"0,6",4,,V,
205276110,OR2761,,ORCA,BEL,,,PL,XXX,A750122,7,6,,V,
205276210,OR2762,,ILKA II,BEL,,,PL,XXX,B806567,3.6,,,V,
205276310,OR2763,,SPEEDY II,BEL,,,PL,XXX,A751286,"2,1",68,,V,
205276400,OS2764,,TURTLE,BEL,,,PL,XXX,A723940,,,,V,
205276410,OR2764,,STICKY,BEL,,,PL,XXX,BC783420,2,7,,V,
205276500,OS2765,,CEOL NA MARA,BEL,,,PL,XXX,K740216,,,,V,
