mmsi,name_count
411041823,60
211215380,60
408541000,60
470921000,60
408811000,60
411041839,60
412456789,60
408567000,60
408438000,60
710003230,60
411041846,59
309416000,59
246530000,59
411041853,59
211290180,59
411041822,59
411041819,59
258595000,59
209973000,59
411041814,59
566558000,59
411041812,59
4403003,59
273347920,59
249491000,58
305607000,58
3,58
211215340,58
211185000,58
1073733503,58
411041841,58
403273000,58
710001290,58
470327000,58
211224430,58
413769111,58
710000242,57
376374000,57
999000016,57
219578000,57
211290730,57
413473210,57
411041831,57
412020202,57
408326000,57
2723675,57
408317000,56
411041794,56
205271235,56
565436000,56
566679000,56
211519510,56
566011000,56
636014289,56
636092076,56
211647710,56
710102038,56
273442640,55
636090799,55
808466480,55
211241130,55
808466488,55
701006380,55
470920000,55
412435760,55
636092319,55
574012729,55
563024280,55
470938000,54
211536840,54
211130870,54
338132992,54
57,54
701095000,54
563899000,54
1073741631,54
100000001,54
211130000,54
211411980,53
302426560,53
412419440,53
244630113,53
367846000,53
564400000,53
355054000,53
211225910,53
334599000,53
211507280,53
211188500,53
216635608,53
563021440,53
211235180,52
888888,52
229976000,52
701007048,52
236650000,52
244810584,52
857984204,52
403701410,52
770576105,52
253494000,52
999000008,52
538004735,52
100900001,52
413972026,51
710012520,51
408459000,51
5,51
470221000,51
576733000,51
411041799,51
412010101,51
808464435,51
710102036,51
710070000,51
244010995,51
211666950,51
563015610,51
244630709,51
212570000,51
218257000,51
566430000,51
710006650,50
470218000,50
524329645,50
710001500,50
244620835,50
244270748,50
565767000,50
657816000,50
710000692,50
253312000,50
477759700,50
470123000,50
411041803,50
477462400,50
710102030,50
710008710,49
413415290,49
710999976,49
710000450,49
710102044,49
211555420,49
211537340,49
412356789,49
913000000,49
565143000,49
244000000,49
563026830,49
355347000,49
533045600,49
211177830,49
244050784,49
710001243,49
411041807,49
123123123,49
566520000,49
500000000,49
412666666,48
211222790,48
563021450,48
244700538,48
311255000,48
107374182,48
366757000,48
220416312,48
211542420,48
211543450,48
408813000,48
8285,48
215942000,48
244615956,48
244730741,48
566964000,47
218783000,47
538004700,47
353035000,47
211411230,47
412400000,47
566251000,47
211537310,47
556555656,47
413473190,47
538005002,47
563010320,47
413801948,47
477346500,47
636092404,47
710102047,47
636090590,47
304970000,47
306892000,47
533000256,47
211484674,47
211223460,47
304428000,47
316093000,47
563021050,46
408386000,46
413772625,46
636092440,46
538004743,46
413777777,46
253101000,46
258686000,46
408857000,46
257973000,46
1073733247,46
201204131,46
533000000,46
710999104,46
566551000,46
800000000,46
211236290,46
211537690,46
574123456,46
565548000,46
470377000,46
249930000,46
606110216,45
563783000,45
408728000,45
470533000,45
259069000,45
563021410,45
563612000,45
413222222,45
366828620,45
566910000,45
211537360,45
408855000,45
710102035,45
234567890,45
415000000,45
470515000,45
710102040,45
236457475,45
470372000,45
577189000,45
211124650,45
211474000,44
366804992,44
412205131,44
412205091,44
311052600,44
563018060,44
701006407,44
413760569,44
356654000,44
244630453,44
211207640,44
367195440,44
710102033,44
211225920,44
710102037,44
600000000,44
859032772,44
533180040,44
246522000,44
246775000,44
312694000,44
566128000,44
470229000,44
111222333,44
859032652,44
244670884,43
563009220,43
366899030,43
470664000,43
211517900,43
244780826,43
412271080,43
15692,43
470309000,43
710002950,43
211264760,43
246875000,43
211216410,43
563243000,43
564783000,43
304671168,43
636091424,43
304010909,43
412412412,43
563516000,43
412488888,43
565586000,43
710004550,43
533000553,42
335544320,42
566000000,42
247279000,42
512071000,42
999999998,42
4157,42
16460,42
636092442,42
545392672,42
563006410,42
235059213,42
564851000,42
710004020,42
244770263,42
352323000,42
524300,42
356288000,42
243601064,42
666000001,42
211672720,42
210168000,42
412030303,42
710102034,42
470000002,42
227188000,42
710286000,42
219620000,42
273111111,42
211286490,42
710003680,41
636092471,41
354502000,41
247282700,41
525011128,41
373181000,41
710007910,41
367841000,41
56,41
535541861,41
470383000,41
710000720,41
413111111,41
211593780,41
211535070,41
563018020,41
370621000,41
710102048,41
413761415,41
701546000,41
512000882,41
470777000,41
403516000,41
1073733439,41
808464440,41
701040000,41
710000174,41
563641000,41
710102016,41
367624748,41
205739710,41
253248000,41
408806000,40
710999997,40
408797000,40
215940000,40
413000009,40
244260563,40
566680000,40
503000230,40
858403372,40
636013315,40
211002010,40
123456888,40
369498000,40
354634040,40
563025000,40
253109000,40
304141000,40
2112603,40
470638000,40
636015628,40
538070504,40
999000012,40
353100000,40
373178000,40
566031000,40
470714000,40
211235220,40
470050830,40
574000000,40
470473000,40
257024540,40
244710451,40
657011000,40
253446000,40
366693850,40
210228000,40
211690000,40
574500000,40
565438000,40
563022530,39
6,39
470896000,39
525693249,39
413555555,39
591016604,39
503044000,39
565678000,39
376069000,39
848507543,39
470237000,39
413473180,39
710102049,39
370390000,39
770576060,39
256656000,39
211326750,39
253445000,39
412045240,39
710102031,39
412428009,39
710000410,39
700550400,39
538000000,39
710002990,39
563022430,39
566127000,39
538003225,39
563826000,39
220592000,39
4403007,39
470889000,39
538005380,39
211224680,39
372626000,39
470130000,38
244615102,38
211227920,38
710011210,38
651644100,38
701000796,38
372636000,38
244790599,38
470347000,38
412000009,38
371854000,38
413000003,38
563216000,38
725017200,38
1234567,38
563024850,38
352464000,38
244780115,38
244810179,38
244660971,38
408558000,38
356896000,38
413000002,38
311084000,38
576785000,38
538090276,38
272000000,38
369857000,38
701006413,38
408518000,38
49905034,37
566001000,37
961561976,37
710002430,37
710000500,37
319029100,37
565659000,37
710000550,37
413780000,37
657939000,37
563013890,37
